Event Name,Time,Distinct ID,City,Country,Operating System
adjust payment method,1719473643.423,3afe1d61-bcf6-518d-8b8c-c78f29c73e80,Eagan,US,
adjust payment method,1719473639.552,c65b072f-b4e6-5c7a-b622-5fca70a24c69,,,
adjust payment method,1719473627.37,a8b7a178-6427-5ba1-b7b5-afb24e82c005,Waltham,US,
order sandwich,1719473620.268,a2fc4d4e-3524-515a-a1d3-9c37ee5aa6ff,Sunshine Coast,AU,
set meal preference,1719473618.523,5abf9e04-3f9f-5534-9824-2d596df68388,Bergheim,DE,
order sandwich,1719473614.888,ce55d752-7a5e-50d9-8707-4e678268e6a5,Minatomirai,JP,
set meal preference,1719473594.214,64b6ec41-216e-55d6-baff-fd71402b761a,,,
order sandwich,1719473591.322,92a3e060-4b4b-5d16-b9d3-289ab510361a,,,
adjust payment method,1719473590.598,93f9b9c4-67c1-56e4-a06c-cb2eb28faf53,,CN,
adjust payment method,1719473587.726,73a0ffc4-9be9-51d0-84af-2fff9984c012,,TW,
set meal preference,1719473579.238,db407b17-67c9-5986-9a8e-b5c24bc9d21c,Chattahoochee,US,
favorite sandwich,1719473577.072,ac42bdae-0492-5cd0-a877-a1b2221ec8e9,,US,
set meal preference,1719473569.71,a4b833ca-7cd7-5ae6-addd-4d702b5915ae,,FR,
adjust payment method,1719473558.335,1c4c4ba6-66ca-5ea4-a14e-973dce368117,,US,
set meal preference,1719473544.772,ca462c1e-ce58-5d9b-9c82-63961aa15806,Milan,IT,
set meal preference,1719473524.703,af38f0a9-e164-56da-b777-0f62dbbe4a4c,,,
favorite sandwich,1719473484.499,787553c3-82c1-5645-b959-52e47bef14d2,,CN,
set meal preference,1719473483.415,5f5901dd-3095-55fd-b854-62b201c501f2,Rotterdam,NL,
set meal preference,1719473479.499,3aaf5055-630c-5746-adb2-8827f6798ea4,Ile-Ife,NG,
favorite sandwich,1719473479.13,88dc8470-3592-56f2-aa87-d8955d498b15,Nairobi,KE,
set meal preference,1719473474.578,9c4c3edb-f5da-5bf8-9f08-654c9a0b7dcd,Vila Velha,BR,
favorite sandwich,1719473458.765,368a9f20-086d-57c0-8f3b-3f19fd2179be,,US,
set meal preference,1719473454.137,899dc0d7-b2ac-5c44-bc56-667b4c9ef6ac,,US,
adjust payment method,1719473445.974,80556bed-f479-59de-b522-53e3b539d078,,DE,
favorite sandwich,1719473399.958,5a85378f-ba8a-56a1-9a4f-84c1057f352c,,US,
adjust payment method,1719473381.069,3e0ac6ff-b7a4-56fb-8be0-217dffc076e1,,US,
set meal preference,1719473372.955,44f4d5c2-40ee-52e6-9bf9-e4ec866ffc10,Kasugadekita,JP,
order sandwich,1719473372.24,00d44207-1e3e-5457-8651-1f1b3da104e4,,,
order sandwich,1719473370.494,6500080d-388f-54c4-a835-211916a857ff,,,
set meal preference,1719473363.638,52544858-e20b-5422-bb77-799484374d63,Shanghai,CN,
adjust payment method,1719473362.042,7c1dd60d-5e58-59b1-8581-85c87c525b31,,US,
set meal preference,1719473350.412,43ebc448-357c-50b9-887f-0dad703cf140,,US,
adjust payment method,1719473349.341,45e8538d-e72e-551b-9bac-7316ce8e1c19,,US,
adjust payment method,1719473346.149,c8dbd935-acbe-5591-a962-0af5e6fb6c8e,,US,
adjust payment method,1719473327.846,76df4fa7-61b2-558f-93e0-1d2a7d48bd6b,,US,
order sandwich,1719472174.999,ae14cfa0-83f2-526d-8b9f-f9755f3389b6,Bloomingdale,US,
order sandwich,1719471984.173,81a5a42d-549f-55e9-88b1-4599cfa094eb,Frankfurt am Main,DE,
set meal preference,1719470547.069,31bc0f47-dfaf-5755-9244-e791f99e4169,Anderson,US,
set meal preference,1719469537.674,96b63914-b5f5-58d2-b737-317eed81d93d,,US,
adjust payment method,1719469085.58,47db1630-3a47-5fef-b625-c6f390f69907,Zhengzhou,CN,
set meal preference,1719468908.09,1a67a53d-7863-5477-85b5-68d1cd2610d9,,CN,
favorite sandwich,1719467474.899,bf477160-1636-5868-afae-01c001ab8d45,,,
adjust payment method,1719467116.673,f0b7ffc8-f9d6-5e99-a4f6-38b8e825af13,,,
adjust payment method,1719466866.206,1da0b48b-f0aa-5a45-832e-d88ba610da6d,,,
adjust payment method,1719466616.926,1b60455b-57f6-55a1-9db5-fdb5bb43afa4,Genoa,IT,
adjust payment method,1719464844.686,2e67223d-98a6-5816-a52c-2d75646cc06e,Lake City,US,
set meal preference,1719464521.841,a1ad7c58-e98c-5517-913b-5c39a62f2686,Dalian,CN,
adjust payment method,1719464295.04,4a7b9099-4d42-54f9-a35d-c6ead58553f4,,US,
order sandwich,1719463960.066,0225e20f-019a-523d-a7eb-08bd2a3560ab,,US,
